ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,author,url,typedby,checkedby,notes,source
4,Banoni,bann1247,,bcm,,,,,"Blust, from Lincoln (1975)",https://abvd.shh.mpg.de/austronesian/language.php?id=4,Peng Du,Simon Greenhill,"Lincoln, Peter C. (1975) English-Banoni finder list. typescript.",lincoln1975a
7,Gedaged,geda1237,,gdd,,,,,"Blust, From: Mager (1952)",https://abvd.shh.mpg.de/austronesian/language.php?id=7,Simon Greenhill,Simon Greenhill,"Mager, J.F. (1952). Gedaged-English Dictionary. Columbus, Ohio: Board of Foreign Missions of the American Lutheran Church.",134622
10,Gimán,gane1237,,gzn,,,,,Dick Teljeur,https://abvd.shh.mpg.de/austronesian/language.php?id=10,Simon Greenhill,Simon Greenhill,Villages of Gane Dalam and Gane Luar in South Halmahera,Teljeur-10-2005
11,Fijian (Bau),bauu1243,,fij,,,,,Blust from: Capell (1968),https://abvd.shh.mpg.de/austronesian/language.php?id=11,Simon Greenhill,Simon Greenhill,"Capell, A. (1968). Lexicostatistical study of the languages of Choiseul Island, British Solomon Islands. Pacific Linguistics, Series A, Occasional Papers, No. 15.",120166
19,Canala,xara1244,,ane,,,,,"Blust, from: Grace (1975)",https://abvd.shh.mpg.de/austronesian/language.php?id=19,Peng Du,Simon Greenhill,"Grace, G.W. (1975) Canala dictionary (New Caledonia). Canberra:Pacific Linguistics.",106213
21,Kilokaka (Ysabel),zaza1245,,jaj,,,,,"Blust, from Tryon & Hackman (1983)",https://abvd.shh.mpg.de/austronesian/language.php?id=21,Peng Du,Simon Greenhill,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",85830
23,Kis,kiss1246,,kis,,,,,D.C. Laycock,https://abvd.shh.mpg.de/austronesian/language.php?id=23,Peng Du,Simon Greenhill,no inalienable possession,Laycock-23-2005
24,Mor,morm1235,,mhz,,,,,"Blust, from Laycock (1965-1966), Anceaux (1961)",https://abvd.shh.mpg.de/austronesian/language.php?id=24,Penny Keenan,Simon Greenhill,"Anceaux, J.C. (1961) The linguistic situation in the islands on Yapen, Kurundu, Nau, and Miosnum, New Guinea. Verhandelingen van het Koninklijk Instituut voor Taal-, Land- en Volkenkunde, Vol. 35. The Hague: Nijhoff.

Laycock, D.C. (1965-1966) Unpublished field notes on Mor. Manuscript.



Tried to add Grace materials, but these appear to represent a distinct dialect",121185;Laycock1965
25,Mota,mota1237,,mtt,,,,,"Blust, From Codrington & Palmer (1896)",https://abvd.shh.mpg.de/austronesian/language.php?id=25,Simon Greenhill,Simon Greenhill,"Codrington, R.H. & Palmer, J. (1896). A dictionary of the language of Mota, Sugarloaf Island, Banks Islands. London: Society for Promoting Christian Knowledge",20301
26,Motu,motu1246,,meu,,,,,"Blust, from: Lister-Turner & Clark (1930)",https://abvd.shh.mpg.de/austronesian/language.php?id=26,Simon Greenhill,Simon Greenhill,"Lister-Turner, Rev. R., & Clark, Rev. J.B. (1930). A Grammar of the Motu language of Papua. Government Printer: Sydney",119011
30,Kairiru,kair1263,,kxa,,,,,R. Wivell,https://abvd.shh.mpg.de/austronesian/language.php?id=30,Simon Greenhill,Simon Greenhill,,Wivell-30-2005
37,Bughotu,bugh1239,,bgt,,,,,Blust,https://abvd.shh.mpg.de/austronesian/language.php?id=37,Penny Keenan,Simon Greenhill,,Blust-37-2005
38,Marquesan,nort2845,,mrq,,,,,"POLLEX 2000 (Bruce Biggs & Ross Clark), David Addison",https://abvd.shh.mpg.de/austronesian/language.php?id=38,Simon Greenhill and Russell Gray,Simon Greenhill,"This is an amalgamation of North (MRQ) and South Marquesan (QMS)  
Pollex supplemented from Dordillon 1931-1932",POLLEX
39,Ali,kapp1237,,ykm,,,,,D.C. Laycock,https://abvd.shh.mpg.de/austronesian/language.php?id=39,Peng Du,Simon Greenhill,[Â«] is probably most instances /a/ but may represent a reduction of other vowels,Laycock-39-2005
40,Ambai (Yapen),amba1265,,amk,,,,,"Blust, from Grace Notebooks",https://abvd.shh.mpg.de/austronesian/language.php?id=40,Peng Du,Simon Greenhill,Ambai (Yapen) = Menawi / Kandewaia,GraceNB
46,Biga (Misool),matb1237,,xmt,,,,,"Blust, from Grace Notebooks",https://abvd.shh.mpg.de/austronesian/language.php?id=46,Simon Greenhill,Simon Greenhill,,GraceBiga
49,Buli,buli1255,,bzq,,,,,Blust from: Maan (1940),https://abvd.shh.mpg.de/austronesian/language.php?id=49,Peng Du,Simon Greenhill,"Maan, G. (1940) Boelisch-Nederlandse woordenlijst. Verhandelingen van het Bataviaasch Genootschap van Kunsten en Wetenschappen 74",64947
52,Hawaiian,hawa1245,,haw,,,,,"Blust, from: Pukui & Elbert (1971)",https://abvd.shh.mpg.de/austronesian/language.php?id=52,Simon Greenhill,Simon Greenhill,"Pukui, M., & Elbert, S.H. (1971). Hawaiian Dictionary. University of Hawaii Press: Hawaii",71458
54,Hoava,hoav1238,,hoa,,,,,"Blust, from Tryon & Hackman (1983)",https://abvd.shh.mpg.de/austronesian/language.php?id=54,Simon Greenhill,Simon Greenhill,"Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.",85830
56,Kaulong (Au Village),kaul1240,,pss,,,,,C. Throop,https://abvd.shh.mpg.de/austronesian/language.php?id=56,Debasish Roy,Simon Greenhill,,Throop-56-2005
57,Kayupulau [Kajupulau],kayu1243,,kzu,,,,,"Blust, from Grace",https://abvd.shh.mpg.de/austronesian/language.php?id=57,Penny Keenan,Simon Greenhill,,GraceNB
58,Rarotongan,raro1241,,rar,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=58,Simon Greenhill,Simon Greenhill,,POLLEX
64,Nukuoro,nuku1260,,nkr,,,,,POLLEX 2000 (Bruce Biggs & Ross Clark),https://abvd.shh.mpg.de/austronesian/language.php?id=64,Simon Greenhill,Simon Greenhill,,POLLEX
